Created as New Dataset,Sample 052 By Administrator Date Tuesday, October 29 2019
cm-1,A,
5962.88,0.4653,
5962.75,0.465,
5962.63,0.4645,
5962.5,0.4639,
5962.38,0.4633,
5962.25,0.4628,
5962.13,0.4629,
5962,0.4638,
5961.88,0.4648,
5961.75,0.465,
5961.63,0.4644,
5961.5,0.4637,
5961.38,0.4633,
5961.25,0.4631,
5961.13,0.4629,
5961,0.4626,
5960.88,0.4623,
5960.75,0.4621,
5960.63,0.4621,
5960.5,0.4622,
5960.38,0.4623,
5960.25,0.4624,
5960.13,0.4627,
5960,0.4632,
5959.88,0.4637,
5959.75,0.4642,
5959.63,0.4647,
5959.5,0.465,
5959.38,0.4648,
5959.25,0.4641,
5959.13,0.4635,
5959,0.4634,
5958.88,0.4636,
5958.75,0.4635,
5958.63,0.4633,
5958.5,0.4638,
5958.38,0.4647,
5958.25,0.4655,
5958.13,0.4656,
5958,0.4653,
5957.88,0.4652,
5957.75,0.4652,
5957.63,0.4651,
5957.5,0.4646,
5957.38,0.4644,
5957.25,0.4647,
5957.13,0.4654,
5957,0.4658,
5956.88,0.4651,
5956.75,0.4638,
5956.63,0.4632,
5956.5,0.4637,
5956.38,0.4651,
5956.25,0.4663,
5956.13,0.467,
5956,0.4672,
5955.88,0.4666,
5955.75,0.4655,
5955.63,0.4641,
5955.5,0.4631,
5955.38,0.463,
5955.25,0.4639,
5955.13,0.4651,
5955,0.4661,
5954.88,0.466,
5954.75,0.4651,
5954.63,0.4639,
5954.5,0.4629,
5954.38,0.4623,
5954.25,0.462,
5954.13,0.4622,
5954,0.4631,
5953.88,0.4641,
5953.75,0.4639,
5953.63,0.4624,
5953.5,0.4607,
5953.38,0.4595,
5953.25,0.4593,
5953.13,0.4597,
5953,0.461,
5952.88,0.4627,
5952.75,0.4643,
5952.63,0.4647,
5952.5,0.4637,
5952.38,0.4619,
5952.25,0.4605,
5952.13,0.4603,
5952,0.4612,
5951.88,0.4625,
5951.75,0.4636,
5951.63,0.4642,
5951.5,0.4644,
5951.38,0.4644,
5951.25,0.4643,
5951.13,0.4645,
5951,0.465,
5950.88,0.4653,
5950.75,0.4649,
5950.63,0.4638,
5950.5,0.463,
5950.38,0.4629,
5950.25,0.4634,
5950.13,0.4638,
5950,0.4641,
5949.88,0.4645,
5949.75,0.4648,
5949.63,0.4646,
5949.5,0.4641,
5949.38,0.4637,
5949.25,0.4637,
5949.13,0.4639,
5949,0.4638,
5948.88,0.4633,
5948.75,0.4623,
5948.63,0.4614,
5948.5,0.461,
5948.38,0.461,
5948.25,0.461,
5948.13,0.4607,
5948,0.4607,
5947.88,0.4612,
5947.75,0.4623,
5947.63,0.463,
5947.5,0.4632,
5947.38,0.4634,
5947.25,0.4641,
5947.13,0.4646,
5947,0.4647,
5946.88,0.4642,
5946.75,0.4638,
5946.63,0.4635,
5946.5,0.463,
5946.38,0.4621,
5946.25,0.4611,
5946.13,0.4604,
5946,0.4602,
5945.88,0.4606,
5945.75,0.4614,
5945.63,0.4622,
5945.5,0.4628,
5945.38,0.4632,
5945.25,0.4636,
5945.13,0.4638,
5945,0.464,
5944.88,0.464,
5944.75,0.4641,
5944.63,0.4639,
5944.5,0.4635,
5944.38,0.4631,
5944.25,0.463,
5944.13,0.4633,
5944,0.4638,
5943.88,0.4645,
5943.75,0.4653,
5943.63,0.4661,
5943.5,0.4662,
5943.38,0.4653,
5943.25,0.4642,
5943.13,0.4637,
5943,0.4637,
5942.88,0.4634,
5942.75,0.4625,
5942.63,0.4617,
5942.5,0.4615,
5942.38,0.4617,
5942.25,0.4616,
5942.13,0.4611,
5942,0.4607,
5941.88,0.4606,
5941.75,0.4611,
5941.63,0.4622,
5941.5,0.4634,
5941.38,0.464,
5941.25,0.4637,
5941.13,0.4627,
5941,0.4614,
5940.88,0.4605,
5940.75,0.4599,
5940.63,0.4602,
5940.5,0.4613,
5940.38,0.4627,
5940.25,0.4637,
5940.13,0.4636,
5940,0.4628,
5939.88,0.4623,
5939.75,0.4625,
5939.63,0.4635,
5939.5,0.4648,
5939.38,0.4654,
5939.25,0.4649,
5939.13,0.4634,
5939,0.462,
5938.88,0.4614,
5938.75,0.4614,
5938.63,0.4618,
5938.5,0.4626,
5938.38,0.4635,
5938.25,0.464,
5938.13,0.4637,
5938,0.4631,
5937.88,0.4629,
5937.75,0.4634,
5937.63,0.464,
5937.5,0.4642,
5937.38,0.464,
5937.25,0.4637,
5937.13,0.4633,
5937,0.4632,
5936.88,0.4632,
5936.75,0.463,
5936.63,0.4625,
5936.5,0.4619,
5936.38,0.4615,
5936.25,0.4618,
5936.13,0.4626,
5936,0.4635,
5935.88,0.4642,
5935.75,0.4643,
5935.63,0.4638,
5935.5,0.4629,
5935.38,0.462,
5935.25,0.4619,
5935.13,0.4624,
5935,0.4634,
5934.88,0.4646,
5934.75,0.4657,
5934.63,0.466,
5934.5,0.4656,
5934.38,0.4647,
5934.25,0.4641,
5934.13,0.4639,
5934,0.4641,
5933.88,0.4642,
5933.75,0.4641,
5933.63,0.4636,
5933.5,0.4625,
5933.38,0.4614,
5933.25,0.4613,
5933.13,0.4624,
5933,0.4639,
5932.88,0.465,
5932.75,0.4655,
5932.63,0.4654,
5932.5,0.4646,
5932.38,0.4635,
5932.25,0.4626,
5932.13,0.4628,
5932,0.4637,
5931.88,0.4643,
5931.75,0.4639,
5931.63,0.4633,
5931.5,0.4631,
5931.38,0.4634,
5931.25,0.4635,
5931.13,0.4634,
5931,0.4632,
5930.88,0.4631,
5930.75,0.463,
5930.63,0.4629,
5930.5,0.4631,
5930.38,0.4632,
5930.25,0.4632,
